"id";"categoria";"subtema";"perfil_usuario";"pergunta";"resposta";"canal_sugerido";"prioridade"
"FAQ-0011";"Bloqueio Preventivo";"bloqueio apos tentativa suspeita";"titular com deslocamento recorrente";"Por que meu cartao Riocard foi bloqueado? Sou titular com deslocamento recorrente e o caso envolve bloqueio apos tentativa suspeita. Quero uma orientacao clara para nao perder o beneficio.";"O bloqueio preventivo e acionado quando o sistema identifica uso fora do padrao esperado do titular. Confirme seus dados e solicite analise do caso no canal indicado. Para esse tipo de situacao (bloqueio apos tentativa suspeita), a orientacao mais segura e consultar atendimento presencial e confirmar o historico recente do cartao antes de tentar novo uso.";"Atendimento presencial";"Alta"
"FAQ-0012";"Bloqueio Preventivo";"bloqueio apos tentativa suspeita";"beneficiario de gratuidade";"Meu cartao parou de funcionar do nada. O que aconteceu? Sou beneficiario de gratuidade e o caso envolve bloqueio apos tentativa suspeita. Estou tentando entender antes de usar novamente.";"Quando o cartao apresenta comportamento atipico, ele pode ser bloqueado para evitar uso indevido. O ideal e consultar o status e pedir revisao imediatamente. Para esse tipo de situacao (bloqueio apos tentativa suspeita), a orientacao mais segura e consultar central e confirmar o historico recente do cartao antes de tentar novo uso.";"Central";"Alta"
"FAQ-0013";"Bloqueio Preventivo";"bloqueio apos tentativa suspeita";"trabalhador que usa integracao";"Recebi informacao de bloqueio preventivo. Como devo proceder? Sou trabalhador que usa integracao e o caso envolve bloqueio apos tentativa suspeita. Nao sei se foi erro ou fraude.";"Se o bloqueio foi gerado por seguranca, a recomendacao e validar titularidade e aguardar a revisao do atendimento. Em geral o cartao permanece bloqueado ate a conclusao da analise. Para esse tipo de situacao (bloqueio apos tentativa suspeita), a orientacao mais segura e consultar app e confirmar o historico recente do cartao antes de tentar novo uso.";"App";"Alta"
"FAQ-0014";"Bloqueio Preventivo";"bloqueio apos tentativa suspeita";"titular com deslocamento recorrente";"O sistema bloqueou meu cartao por seguranca. O que significa? Sou titular com deslocamento recorrente e o caso envolve bloqueio apos tentativa suspeita. Quero uma orientacao clara para nao perder o beneficio.";"Esse tipo de bloqueio busca proteger o usuario contra movimentacoes suspeitas. Depois da confirmacao dos dados, a equipe informa se o cartao sera desbloqueado ou substituido. Para esse tipo de situacao (bloqueio apos tentativa suspeita), a orientacao mais segura e consultar atendimento presencial e confirmar o historico recente do cartao antes de tentar novo uso.";"Atendimento presencial";"Alta"
"FAQ-0015";"Bloqueio Preventivo";"bloqueio apos tentativa suspeita";"beneficiario de gratuidade";"Meu cartao estava normal e agora aparece como bloqueado. Qual pode ser o motivo? Sou beneficiario de gratuidade e o caso envolve bloqueio apos tentativa suspeita. Estou tentando entender antes de usar novamente.";"Se houver uso em local ou horario incomum, o sistema pode interromper o uso preventivamente. O proximo passo e abrir uma solicitacao para verificacao. Para esse tipo de situacao (bloqueio apos tentativa suspeita), a orientacao mais segura e consultar central e confirmar o historico recente do cartao antes de tentar novo uso.";"Central";"Alta"
"FAQ-0016";"Bloqueio Preventivo";"bloqueio apos tentativa suspeita";"trabalhador que usa integracao";"Como confirmar se o bloqueio foi realmente preventivo? Sou trabalhador que usa integracao e o caso envolve bloqueio apos tentativa suspeita. Nao sei se foi erro ou fraude.";"A orientacao e consultar o historico recente de uso, confirmar se houve tentativa por terceiros e seguir com a analise pelos canais oficiais. Para esse tipo de situacao (bloqueio apos tentativa suspeita), a orientacao mais segura e consultar app e confirmar o historico recente do cartao antes de tentar novo uso.";"App";"Alta"
"FAQ-0017";"Bloqueio Preventivo";"bloqueio apos tentativa suspeita";"titular com deslocamento recorrente";"O bloqueio preventivo acontece por quanto tempo? Sou titular com deslocamento recorrente e o caso envolve bloqueio apos tentativa suspeita. Quero uma orientacao clara para nao perder o beneficio.";"O bloqueio preventivo e acionado quando o sistema identifica uso fora do padrao esperado do titular. Confirme seus dados e solicite analise do caso no canal indicado. Para esse tipo de situacao (bloqueio apos tentativa suspeita), a orientacao mais segura e consultar atendimento presencial e confirmar o historico recente do cartao antes de tentar novo uso.";"Atendimento presencial";"Alta"
"FAQ-0018";"Bloqueio Preventivo";"bloqueio apos tentativa suspeita";"beneficiario de gratuidade";"Consigo usar o cartao enquanto a analise esta em andamento? Sou beneficiario de gratuidade e o caso envolve bloqueio apos tentativa suspeita. Estou tentando entender antes de usar novamente.";"Quando o cartao apresenta comportamento atipico, ele pode ser bloqueado para evitar uso indevido. O ideal e consultar o status e pedir revisao imediatamente. Para esse tipo de situacao (bloqueio apos tentativa suspeita), a orientacao mais segura e consultar central e confirmar o historico recente do cartao antes de tentar novo uso.";"Central";"Alta"
"FAQ-0019";"Bloqueio Preventivo";"bloqueio apos tentativa suspeita";"trabalhador que usa integracao";"Quais documentos podem ser pedidos para desbloquear o cartao? Sou trabalhador que usa integracao e o caso envolve bloqueio apos tentativa suspeita. Nao sei se foi erro ou fraude.";"Se o bloqueio foi gerado por seguranca, a recomendacao e validar titularidade e aguardar a revisao do atendimento. Em geral o cartao permanece bloqueado ate a conclusao da analise. Para esse tipo de situacao (bloqueio apos tentativa suspeita), a orientacao mais segura e consultar app e confirmar o historico recente do cartao antes de tentar novo uso.";"App";"Alta"
"FAQ-0020";"Bloqueio Preventivo";"bloqueio apos tentativa suspeita";"titular com deslocamento recorrente";"Como saber se o bloqueio foi por suspeita de fraude? Sou titular com deslocamento recorrente e o caso envolve bloqueio apos tentativa suspeita. Quero uma orientacao clara para nao perder o beneficio.";"Esse tipo de bloqueio busca proteger o usuario contra movimentacoes suspeitas. Depois da confirmacao dos dados, a equipe informa se o cartao sera desbloqueado ou substituido. Para esse tipo de situacao (bloqueio apos tentativa suspeita), a orientacao mais segura e consultar atendimento presencial e confirmar o historico recente do cartao antes de tentar novo uso.";"Atendimento presencial";"Alta"
"FAQ-0021";"Bloqueio Preventivo";"bloqueio por score de risco";"trabalhador que usa integracao";"Por que meu cartao Riocard foi bloqueado? Sou trabalhador que usa integracao e o caso envolve bloqueio por score de risco. Nao sei se foi erro ou fraude.";"O bloqueio preventivo e acionado quando o sistema identifica uso fora do padrao esperado do titular. Confirme seus dados e solicite analise do caso no canal indicado. Para esse tipo de situacao (bloqueio por score de risco), a orientacao mais segura e consultar app e confirmar o historico recente do cartao antes de tentar novo uso.";"App";"Alta"
"FAQ-0022";"Bloqueio Preventivo";"bloqueio por score de risco";"titular com deslocamento recorrente";"Meu cartao parou de funcionar do nada. O que aconteceu? Sou titular com deslocamento recorrente e o caso envolve bloqueio por score de risco. Quero uma orientacao clara para nao perder o beneficio.";"Quando o cartao apresenta comportamento atipico, ele pode ser bloqueado para evitar uso indevido. O ideal e consultar o status e pedir revisao imediatamente. Para esse tipo de situacao (bloqueio por score de risco), a orientacao mais segura e consultar atendimento presencial e confirmar o historico recente do cartao antes de tentar novo uso.";"Atendimento presencial";"Alta"
"FAQ-0023";"Bloqueio Preventivo";"bloqueio por score de risco";"beneficiario de gratuidade";"Recebi informacao de bloqueio preventivo. Como devo proceder? Sou beneficiario de gratuidade e o caso envolve bloqueio por score de risco. Estou tentando entender antes de usar novamente.";"Se o bloqueio foi gerado por seguranca, a recomendacao e validar titularidade e aguardar a revisao do atendimento. Em geral o cartao permanece bloqueado ate a conclusao da analise. Para esse tipo de situacao (bloqueio por score de risco), a orientacao mais segura e consultar central e confirmar o historico recente do cartao antes de tentar novo uso.";"Central";"Alta"
"FAQ-0024";"Bloqueio Preventivo";"bloqueio por score de risco";"trabalhador que usa integracao";"O sistema bloqueou meu cartao por seguranca. O que significa? Sou trabalhador que usa integracao e o caso envolve bloqueio por score de risco. Nao sei se foi erro ou fraude.";"Esse tipo de bloqueio busca proteger o usuario contra movimentacoes suspeitas. Depois da confirmacao dos dados, a equipe informa se o cartao sera desbloqueado ou substituido. Para esse tipo de situacao (bloqueio por score de risco), a orientacao mais segura e consultar app e confirmar o historico recente do cartao antes de tentar novo uso.";"App";"Alta"
"FAQ-0025";"Bloqueio Preventivo";"bloqueio por score de risco";"titular com deslocamento recorrente";"Meu cartao estava normal e agora aparece como bloqueado. Qual pode ser o motivo? Sou titular com deslocamento recorrente e o caso envolve bloqueio por score de risco. Quero uma orientacao clara para nao perder o beneficio.";"Se houver uso em local ou horario incomum, o sistema pode interromper o uso preventivamente. O proximo passo e abrir uma solicitacao para verificacao. Para esse tipo de situacao (bloqueio por score de risco), a orientacao mais segura e consultar atendimento presencial e confirmar o historico recente do cartao antes de tentar novo uso.";"Atendimento presencial";"Alta"
"FAQ-0026";"Bloqueio Preventivo";"bloqueio por score de risco";"beneficiario de gratuidade";"Como confirmar se o bloqueio foi realmente preventivo? Sou beneficiario de gratuidade e o caso envolve bloqueio por score de risco. Estou tentando entender antes de usar novamente.";"A orientacao e consultar o historico recente de uso, confirmar se houve tentativa por terceiros e seguir com a analise pelos canais oficiais. Para esse tipo de situacao (bloqueio por score de risco), a orientacao mais segura e consultar central e confirmar o historico recente do cartao antes de tentar novo uso.";"Central";"Alta"
"FAQ-0027";"Bloqueio Preventivo";"bloqueio por score de risco";"trabalhador que usa integracao";"O bloqueio preventivo acontece por quanto tempo? Sou trabalhador que usa integracao e o caso envolve bloqueio por score de risco. Nao sei se foi erro ou fraude.";"O bloqueio preventivo e acionado quando o sistema identifica uso fora do padrao esperado do titular. Confirme seus dados e solicite analise do caso no canal indicado. Para esse tipo de situacao (bloqueio por score de risco), a orientacao mais segura e consultar app e confirmar o historico recente do cartao antes de tentar novo uso.";"App";"Alta"
"FAQ-0028";"Bloqueio Preventivo";"bloqueio por score de risco";"titular com deslocamento recorrente";"Consigo usar o cartao enquanto a analise esta em andamento? Sou titular com deslocamento recorrente e o caso envolve bloqueio por score de risco. Quero uma orientacao clara para nao perder o beneficio.";"Quando o cartao apresenta comportamento atipico, ele pode ser bloqueado para evitar uso indevido. O ideal e consultar o status e pedir revisao imediatamente. Para esse tipo de situacao (bloqueio por score de risco), a orientacao mais segura e consultar atendimento presencial e confirmar o historico recente do cartao antes de tentar novo uso.";"Atendimento presencial";"Alta"
"FAQ-0029";"Bloqueio Preventivo";"bloqueio por score de risco";"beneficiario de gratuidade";"Quais documentos podem ser pedidos para desbloquear o cartao? Sou beneficiario de gratuidade e o caso envolve bloqueio por score de risco. Estou tentando entender antes de usar novamente.";"Se o bloqueio foi gerado por seguranca, a recomendacao e validar titularidade e aguardar a revisao do atendimento. Em geral o cartao permanece bloqueado ate a conclusao da analise. Para esse tipo de situacao (bloqueio por score de risco), a orientacao mais segura e consultar central e confirmar o historico recente do cartao antes de tentar novo uso.";"Central";"Alta"
"FAQ-0030";"Bloqueio Preventivo";"bloqueio por score de risco";"trabalhador que usa integracao";"Como saber se o bloqueio foi por suspeita de fraude? Sou trabalhador que usa integracao e o caso envolve bloqueio por score de risco. Nao sei se foi erro ou fraude.";"Esse tipo de bloqueio busca proteger o usuario contra movimentacoes suspeitas. Depois da confirmacao dos dados, a equipe informa se o cartao sera desbloqueado ou substituido. Para esse tipo de situacao (bloqueio por score de risco), a orientacao mais segura e consultar app e confirmar o historico recente do cartao antes de tentar novo uso.";"App";"Alta"
"FAQ-0031";"Bloqueio Preventivo";"bloqueio por comportamento atipico";"beneficiario de gratuidade";"Por que meu cartao Riocard foi bloqueado? Sou beneficiario de gratuidade e o caso envolve bloqueio por comportamento atipico. Estou tentando entender antes de usar novamente.";"O bloqueio preventivo e acionado quando o sistema identifica uso fora do padrao esperado do titular. Confirme seus dados e solicite analise do caso no canal indicado. Para esse tipo de situacao (bloqueio por comportamento atipico), a orientacao mais segura e consultar central e confirmar o historico recente do cartao antes de tentar novo uso.";"Central";"Alta"
"FAQ-0032";"Bloqueio Preventivo";"bloqueio por comportamento atipico";"trabalhador que usa integracao";"Meu cartao parou de funcionar do nada. O que aconteceu? Sou trabalhador que usa integracao e o caso envolve bloqueio por comportamento atipico. Nao sei se foi erro ou fraude.";"Quando o cartao apresenta comportamento atipico, ele pode ser bloqueado para evitar uso indevido. O ideal e consultar o status e pedir revisao imediatamente. Para esse tipo de situacao (bloqueio por comportamento atipico), a orientacao mais segura e consultar app e confirmar o historico recente do cartao antes de tentar novo uso.";"App";"Alta"
"FAQ-0033";"Bloqueio Preventivo";"bloqueio por comportamento atipico";"titular com deslocamento recorrente";"Recebi informacao de bloqueio preventivo. Como devo proceder? Sou titular com deslocamento recorrente e o caso envolve bloqueio por comportamento atipico. Quero uma orientacao clara para nao perder o beneficio.";"Se o bloqueio foi gerado por seguranca, a recomendacao e validar titularidade e aguardar a revisao do atendimento. Em geral o cartao permanece bloqueado ate a conclusao da analise. Para esse tipo de situacao (bloqueio por comportamento atipico), a orientacao mais segura e consultar atendimento presencial e confirmar o historico recente do cartao antes de tentar novo uso.";"Atendimento presencial";"Alta"
"FAQ-0034";"Bloqueio Preventivo";"bloqueio por comportamento atipico";"beneficiario de gratuidade";"O sistema bloqueou meu cartao por seguranca. O que significa? Sou beneficiario de gratuidade e o caso envolve bloqueio por comportamento atipico. Estou tentando entender antes de usar novamente.";"Esse tipo de bloqueio busca proteger o usuario contra movimentacoes suspeitas. Depois da confirmacao dos dados, a equipe informa se o cartao sera desbloqueado ou substituido. Para esse tipo de situacao (bloqueio por comportamento atipico), a orientacao mais segura e consultar central e confirmar o historico recente do cartao antes de tentar novo uso.";"Central";"Alta"
"FAQ-0035";"Bloqueio Preventivo";"bloqueio por comportamento atipico";"trabalhador que usa integracao";"Meu cartao estava normal e agora aparece como bloqueado. Qual pode ser o motivo? Sou trabalhador que usa integracao e o caso envolve bloqueio por comportamento atipico. Nao sei se foi erro ou fraude.";"Se houver uso em local ou horario incomum, o sistema pode interromper o uso preventivamente. O proximo passo e abrir uma solicitacao para verificacao. Para esse tipo de situacao (bloqueio por comportamento atipico), a orientacao mais segura e consultar app e confirmar o historico recente do cartao antes de tentar novo uso.";"App";"Alta"
"FAQ-0036";"Bloqueio Preventivo";"bloqueio por comportamento atipico";"titular com deslocamento recorrente";"Como confirmar se o bloqueio foi realmente preventivo? Sou titular com deslocamento recorrente e o caso envolve bloqueio por comportamento atipico. Quero uma orientacao clara para nao perder o beneficio.";"A orientacao e consultar o historico recente de uso, confirmar se houve tentativa por terceiros e seguir com a analise pelos canais oficiais. Para esse tipo de situacao (bloqueio por comportamento atipico), a orientacao mais segura e consultar atendimento presencial e confirmar o historico recente do cartao antes de tentar novo uso.";"Atendimento presencial";"Alta"
"FAQ-0037";"Bloqueio Preventivo";"bloqueio por comportamento atipico";"beneficiario de gratuidade";"O bloqueio preventivo acontece por quanto tempo? Sou beneficiario de gratuidade e o caso envolve bloqueio por comportamento atipico. Estou tentando entender antes de usar novamente.";"O bloqueio preventivo e acionado quando o sistema identifica uso fora do padrao esperado do titular. Confirme seus dados e solicite analise do caso no canal indicado. Para esse tipo de situacao (bloqueio por comportamento atipico), a orientacao mais segura e consultar central e confirmar o historico recente do cartao antes de tentar novo uso.";"Central";"Alta"
"FAQ-0038";"Bloqueio Preventivo";"bloqueio por comportamento atipico";"trabalhador que usa integracao";"Consigo usar o cartao enquanto a analise esta em andamento? Sou trabalhador que usa integracao e o caso envolve bloqueio por comportamento atipico. Nao sei se foi erro ou fraude.";"Quando o cartao apresenta comportamento atipico, ele pode ser bloqueado para evitar uso indevido. O ideal e consultar o status e pedir revisao imediatamente. Para esse tipo de situacao (bloqueio por comportamento atipico), a orientacao mais segura e consultar app e confirmar o historico recente do cartao antes de tentar novo uso.";"App";"Alta"
"FAQ-0039";"Bloqueio Preventivo";"bloqueio por comportamento atipico";"titular com deslocamento recorrente";"Quais documentos podem ser pedidos para desbloquear o cartao? Sou titular com deslocamento recorrente e o caso envolve bloqueio por comportamento atipico. Quero uma orientacao clara para nao perder o beneficio.";"Se o bloqueio foi gerado por seguranca, a recomendacao e validar titularidade e aguardar a revisao do atendimento. Em geral o cartao permanece bloqueado ate a conclusao da analise. Para esse tipo de situacao (bloqueio por comportamento atipico), a orientacao mais segura e consultar atendimento presencial e confirmar o historico recente do cartao antes de tentar novo uso.";"Atendimento presencial";"Alta"
"FAQ-0040";"Bloqueio Preventivo";"bloqueio por comportamento atipico";"beneficiario de gratuidade";"Como saber se o bloqueio foi por suspeita de fraude? Sou beneficiario de gratuidade e o caso envolve bloqueio por comportamento atipico. Estou tentando entender antes de usar novamente.";"Esse tipo de bloqueio busca proteger o usuario contra movimentacoes suspeitas. Depois da confirmacao dos dados, a equipe informa se o cartao sera desbloqueado ou substituido. Para esse tipo de situacao (bloqueio por comportamento atipico), a orientacao mais segura e consultar central e confirmar o historico recente do cartao antes de tentar novo uso.";"Central";"Alta"
"FAQ-0041";"Bloqueio Preventivo";"desbloqueio apos validacao";"titular com deslocamento recorrente";"Por que meu cartao Riocard foi bloqueado? Sou titular com deslocamento recorrente e o caso envolve desbloqueio apos validacao. Quero uma orientacao clara para nao perder o beneficio.";"O bloqueio preventivo e acionado quando o sistema identifica uso fora do padrao esperado do titular. Confirme seus dados e solicite analise do caso no canal indicado. Para esse tipo de situacao (desbloqueio apos validacao), a orientacao mais segura e consultar atendimento presencial e confirmar o historico recente do cartao antes de tentar novo uso.";"Atendimento presencial";"Alta"
"FAQ-0042";"Bloqueio Preventivo";"desbloqueio apos validacao";"beneficiario de gratuidade";"Meu cartao parou de funcionar do nada. O que aconteceu? Sou beneficiario de gratuidade e o caso envolve desbloqueio apos validacao. Estou tentando entender antes de usar novamente.";"Quando o cartao apresenta comportamento atipico, ele pode ser bloqueado para evitar uso indevido. O ideal e consultar o status e pedir revisao imediatamente. Para esse tipo de situacao (desbloqueio apos validacao), a orientacao mais segura e consultar central e confirmar o historico recente do cartao antes de tentar novo uso.";"Central";"Alta"
"FAQ-0043";"Bloqueio Preventivo";"desbloqueio apos validacao";"trabalhador que usa integracao";"Recebi informacao de bloqueio preventivo. Como devo proceder? Sou trabalhador que usa integracao e o caso envolve desbloqueio apos validacao. Nao sei se foi erro ou fraude.";"Se o bloqueio foi gerado por seguranca, a recomendacao e validar titularidade e aguardar a revisao do atendimento. Em geral o cartao permanece bloqueado ate a conclusao da analise. Para esse tipo de situacao (desbloqueio apos validacao), a orientacao mais segura e consultar app e confirmar o historico recente do cartao antes de tentar novo uso.";"App";"Alta"
"FAQ-0044";"Bloqueio Preventivo";"desbloqueio apos validacao";"titular com deslocamento recorrente";"O sistema bloqueou meu cartao por seguranca. O que significa? Sou titular com deslocamento recorrente e o caso envolve desbloqueio apos validacao. Quero uma orientacao clara para nao perder o beneficio.";"Esse tipo de bloqueio busca proteger o usuario contra movimentacoes suspeitas. Depois da confirmacao dos dados, a equipe informa se o cartao sera desbloqueado ou substituido. Para esse tipo de situacao (desbloqueio apos validacao), a orientacao mais segura e consultar atendimento presencial e confirmar o historico recente do cartao antes de tentar novo uso.";"Atendimento presencial";"Alta"
"FAQ-0045";"Bloqueio Preventivo";"desbloqueio apos validacao";"beneficiario de gratuidade";"Meu cartao estava normal e agora aparece como bloqueado. Qual pode ser o motivo? Sou beneficiario de gratuidade e o caso envolve desbloqueio apos validacao. Estou tentando entender antes de usar novamente.";"Se houver uso em local ou horario incomum, o sistema pode interromper o uso preventivamente. O proximo passo e abrir uma solicitacao para verificacao. Para esse tipo de situacao (desbloqueio apos validacao), a orientacao mais segura e consultar central e confirmar o historico recente do cartao antes de tentar novo uso.";"Central";"Alta"
"FAQ-0046";"Bloqueio Preventivo";"desbloqueio apos validacao";"trabalhador que usa integracao";"Como confirmar se o bloqueio foi realmente preventivo? Sou trabalhador que usa integracao e o caso envolve desbloqueio apos validacao. Nao sei se foi erro ou fraude.";"A orientacao e consultar o historico recente de uso, confirmar se houve tentativa por terceiros e seguir com a analise pelos canais oficiais. Para esse tipo de situacao (desbloqueio apos validacao), a orientacao mais segura e consultar app e confirmar o historico recente do cartao antes de tentar novo uso.";"App";"Alta"
"FAQ-0047";"Bloqueio Preventivo";"desbloqueio apos validacao";"titular com deslocamento recorrente";"O bloqueio preventivo acontece por quanto tempo? Sou titular com deslocamento recorrente e o caso envolve desbloqueio apos validacao. Quero uma orientacao clara para nao perder o beneficio.";"O bloqueio preventivo e acionado quando o sistema identifica uso fora do padrao esperado do titular. Confirme seus dados e solicite analise do caso no canal indicado. Para esse tipo de situacao (desbloqueio apos validacao), a orientacao mais segura e consultar atendimento presencial e confirmar o historico recente do cartao antes de tentar novo uso.";"Atendimento presencial";"Alta"
"FAQ-0048";"Bloqueio Preventivo";"desbloqueio apos validacao";"beneficiario de gratuidade";"Consigo usar o cartao enquanto a analise esta em andamento? Sou beneficiario de gratuidade e o caso envolve desbloqueio apos validacao. Estou tentando entender antes de usar novamente.";"Quando o cartao apresenta comportamento atipico, ele pode ser bloqueado para evitar uso indevido. O ideal e consultar o status e pedir revisao imediatamente. Para esse tipo de situacao (desbloqueio apos validacao), a orientacao mais segura e consultar central e confirmar o historico recente do cartao antes de tentar novo uso.";"Central";"Alta"
"FAQ-0049";"Bloqueio Preventivo";"desbloqueio apos validacao";"trabalhador que usa integracao";"Quais documentos podem ser pedidos para desbloquear o cartao? Sou trabalhador que usa integracao e o caso envolve desbloqueio apos validacao. Nao sei se foi erro ou fraude.";"Se o bloqueio foi gerado por seguranca, a recomendacao e validar titularidade e aguardar a revisao do atendimento. Em geral o cartao permanece bloqueado ate a conclusao da analise. Para esse tipo de situacao (desbloqueio apos validacao), a orientacao mais segura e consultar app e confirmar o historico recente do cartao antes de tentar novo uso.";"App";"Alta"
"FAQ-0050";"Bloqueio Preventivo";"desbloqueio apos validacao";"titular com deslocamento recorrente";"Como saber se o bloqueio foi por suspeita de fraude? Sou titular com deslocamento recorrente e o caso envolve desbloqueio apos validacao. Quero uma orientacao clara para nao perder o beneficio.";"Esse tipo de bloqueio busca proteger o usuario contra movimentacoes suspeitas. Depois da confirmacao dos dados, a equipe informa se o cartao sera desbloqueado ou substituido. Para esse tipo de situacao (desbloqueio apos validacao), a orientacao mais segura e consultar atendimento presencial e confirmar o historico recente do cartao antes de tentar novo uso.";"Atendimento presencial";"Alta"
